LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
agk,2,2,1.86481660583433,0,2,1.86446695089252,0,-0.00034965494181,2,1.86433450646796,0,-0.00048209936637
agl,1,1,1.03702631560328,0,1,1.0369993078776,0,-2.70077256798729E-05,1,1.03699143668702,0,-3.48789162598617E-05
agm,1,1,1.00099998406927,0,1,1.00100082254831,0,8.38479039977358E-07,1,1.00100074066015,0,7.56590879946728E-07
agn,1,1,1.03344576378592,0,1,1.03348679743196,0,4.10336460399119E-05,1,1.03349402353037,0,4.82597444499966E-05
ago,1,1,1.00368305234375,0,1,1.00368837656153,0,5.32421777998948E-06,1,1.00368934631671,0,6.2939729599254E-06
agq,1,1,1.00798961978525,0,1,1.00793858635095,0,-5.10334343000185E-05,1,1.00792697088939,0,-6.26488958599403E-05
agr,1,1,1.01278023767066,0,1,1.00498719644685,0,-0.00779304122381,1,1.00499148342172,0,-0.00778875424894
ags,1,1,1.0129588095383,0,1,1.01288329660712,0,-7.55129311800218E-05,1,1.01286603466113,0,-9.27748771699655E-05
agt,1,1,1.10667643159574,0,1,1.10670511390167,0,2.86823059298946E-05,1,1.1067285653545,0,5.2133758760009E-05
agu,1,1,1.01687287756732,0,1,1.01679812380665,0,-7.47537606700099E-05,1,1.01678726988259,0,-8.56076847299825E-05
agv,2,1,1.07834469332923,1,1,1.07830722304422,0,-3.74702850098885E-05,1,1.07830103408725,0,-4.36592419799098E-05
agw,1,1,1.00010873422575,0,1,1.00010864400115,0,-9.02246000133999E-08,1,1.00010858442648,0,-1.49799269877349E-07
agx,1,1,1.01477015859642,0,1,1.0148020381307,0,3.1879534279966E-05,1,1.01481164406827,0,4.14854718500113E-05
agy,1,1,1.22853317396349,0,1,1.22790939508744,0,-0.00062377887605,1,1.22774900953167,0,-0.00078416443182
agz,1,1,1.09030794890346,0,1,1.09034870631329,0,4.07574098300056E-05,1,1.09034707613571,0,3.91272322499692E-05
aha,1,1,1.0106228185435,0,1,1.00986880954111,0,-0.00075400900239,1,1.00914421722103,0,-0.00147860132247
ahb,1,1,1.00454590771429,0,1,1.00454114242407,0,-4.76529021997685E-06,1,1.00454063090844,0,-5.27680585005186E-06
ahg,2,1,1.03635568744647,1,1,1.03586395855334,0,-0.00049172889313,1,1.03572774725472,0,-0.00062794019175
ahh,1,1,1.02393905615578,0,1,1.02400597998033,0,6.69238245500914E-05,1,1.02402353205569,0,8.44758999101192E-05
ahi,1,1,1.01021434562299,0,1,1.0101357240029,0,-7.86216200898693E-05,1,1.01011379840666,0,-0.00010054721633
ahk,1,1,1.00001762950601,0,1,1.00001767372935,0,4.42233401010128E-08,1,1.00001767880248,0,4.92964700171683E-08
ahl,1,1,1.00134962216165,0,1,1.00135850470697,0,8.8825453199437E-06,1,1.00135713620817,0,7.5140465198853E-06
ahm,1,1,1.02463750529118,0,1,1.02432885713336,0,-0.00030864815782,1,1.02423659609869,0,-0.00040090919249
ahn,1,1,1.03739783414667,0,1,1.03700013607455,0,-0.00039769807212,1,1.0369365145672,0,-0.00046131957947
aho,3,2,1.97339762213771,1,2,1.97324892809408,0,-0.00014869404363,2,1.97320997694576,0,-0.00018764519195
ahp,1,1,1.02668415079881,0,1,1.02653411980387,0,-0.00015003099494,1,1.02648326657064,0,-0.00020088422817
ahs,1,1,1.0031704780712,0,1,1.00325063876718,0,8.01606959799361E-05,1,1.00324675034259,0,7.62722713898434E-05
aht,2,3,2.67982878328105,-1,3,2.67945044473913,0,-0.00037833854192,3,2.6793859948156,0,-0.00044278846545
aia,1,1,1.00005689658652,0,1,1.00005670778659,0,-1.88799929912165E-07,1,1.00005666633885,0,-2.30247670041095E-07
aib,1,1,1.44743028358091,0,1,1.44644391617236,0,-0.00098636740855,1,1.44631506839477,0,-0.00111521518614
aic,2,1,1.25603983217601,1,1,1.25591938952065,0,-0.00012044265536,1,1.25590934640936,0,-0.00013048576665
aie,1,1,1.00553418375161,0,1,1.00553980900585,0,5.62525423997151E-06,1,1.00553896577925,0,4.78202763987134E-06
aif,1,1,1.00496005250687,0,1,1.00495279760899,0,-7.25489788000466E-06,1,1.00495081079229,0,-9.24171458005496E-06
aig,1,1,1.0021282216033,0,1,1.00212593915955,0,-2.28244375000131E-06,1,1.00212496743236,0,-3.25417094004798E-06
aih,1,1,1.09842268689781,0,1,1.09833783263248,0,-8.48542653300033E-05,1,1.09834602938802,0,-7.66575097899125E-05
aii,1,1,1.00180216319004,0,1,1.00180874449945,0,6.5813094098921E-06,1,1.0018096246829,0,7.46149286001696E-06
aik,1,1,1.01728853693154,0,1,1.01761495884022,0,0.00032642190868,1,1.01756716312422,0,0.00027862619268
ail,1,1,1.07024546013245,0,1,1.07028897966693,0,4.35195344798967E-05,1,1.07029328730934,0,4.78271768900029E-05
aim,1,1,1.02771339967024,0,1,1.02771601549279,0,2.61582255012271E-06,1,1.0277163385688,0,2.93889856006757E-06
ain,2,2,1.6797801692952,0,2,1.68095891056889,0,0.00117874127369,2,1.68100421910116,0,0.00122404980596
aip,2,1,1.34696578902731,1,1,1.3474233800261,0,0.00045759099879,1,1.34758242949326,0,0.00061664046595
aiq,1,1,1.00272936430335,0,1,1.00272483280907,0,-4.53149427981359E-06,1,1.00272415658021,0,-5.20772313983287E-06
air,1,1,1.08997690559273,0,1,1.0902240096009,0,0.00024710400817,1,1.09029761312759,0,0.00032070753486
aiw,1,1,1.00112195258894,0,1,1.00111809537067,0,-3.8572182701202E-06,1,1.00111712398048,0,-4.8286084601834E-06
aix,1,1,1.00525437997604,0,1,1.00524328633448,0,-1.10936415600449E-05,1,1.00524024151275,0,-1.41384632901254E-05
aja,2,1,1.02362264206282,1,1,1.02371420026088,0,9.15581980598379E-05,1,1.02374860156372,0,0.0001259595009
ajg,1,1,1.00001761076219,0,1,1.00001768800184,0,7.72396500092754E-08,1,1.00001764497804,0,3.42158499311296E-08
aji,1,1,1.00541387796729,0,1,1.00543548390523,0,2.16059379398725E-05,1,1.00544243351306,0,2.85555457699704E-05
ajt,1,2,1.77808607084844,-1,2,1.8233270430595,0,0.04524097221106,2,1.84683209148583,0,0.06874602063739
aju,1,1,1.26045691042023,0,1,1.2605740815853,0,0.00011717116507,1,1.26301367418826,0,0.00255676376803
ajw,3,3,2.83593189540657,0,3,2.83568385081494,0,-0.00024804459163,3,2.83580379016677,0,-0.0001281052398
ajz,1,1,1.00209565122621,0,1,1.0020998628872,0,4.21166098996117E-06,1,1.00210146906673,0,5.817840520006E-06
aka,1,1,1.00001052523752,0,1,1.00001292069275,0,2.39545522995321E-06,1,1.00001486725579,0,4.34201827004266E-06
akb,1,1,1.00337547598939,0,1,1.00338603544064,0,1.05594512500584E-05,1,1.00338781803069,0,1.2342041300073E-05
akc,1,1,1.03120607058006,0,1,1.03130266741857,0,9.65968385098215E-05,1,1.03133694084961,0,0.00013087026955
akd,1,1,1.00601120835194,0,1,1.00593689588317,0,-7.43124687698771E-05,1,1.00592523463445,0,-8.59737174898623E-05
ake,1,1,1.14049967962096,0,1,1.16981648947456,0,0.0293168098536,1,1.19011590220414,0,0.04961622258318
akf,1,1,1.00425068807421,0,1,1.00426150745399,0,1.08193797800915E-05,1,1.00425129497594,0,6.06901729982567E-07
akg,1,1,1.03133416392452,0,1,1.03146178384736,0,0.00012761992284,1,1.03149205928718,0,0.00015789536266
akh,1,1,1.00000159899219,0,1,1.000001599738,0,7.45810080360343E-10,1,1.00000159987689,0,8.84700090963975E-10
aki,1,1,1.01063489092627,0,1,1.01063457940597,0,-3.11520300000367E-07,1,1.0106332491457,0,-1.64178056993869E-06
akl,1,1,1.00073181996899,0,1,1.00073239458616,0,5.74617169846192E-07,1,1.00073234841034,0,5.28441350011732E-07
ako,2,1,1.325951167476,1,1,1.41677389292535,0,0.09082272544935,1,1.47897952624295,0,0.15302835876695
akp,1,1,1.00039288087427,0,1,1.00038953657926,0,-3.34429500981059E-06,1,1.00038921812756,0,-3.6627467099315E-06
akq,2,2,1.74764993191553,0,2,1.74696017652846,0,-0.00068975538707,2,1.74686982900371,0,-0.00078010291182
aks,1,1,1.00058793476779,0,1,1.00059441562941,0,6.48086162002848E-06,1,1.00059361327834,0,5.67851055000013E-06
akt,1,1,1.00934685064009,0,1,1.00934445584554,0,-2.39479454999802E-06,1,1.00934218731248,0,-4.66332761006605E-06
aku,1,1,1.14120743337317,0,1,1.14046412996943,0,-0.00074330340374,1,1.14032369492733,0,-0.00088373844584
akv,1,1,1.07066994582925,0,1,1.0709659432397,0,0.00029599741045,1,1.07107542482464,0,0.00040547899539
akw,1,1,1.08328372376793,0,1,1.10611190633839,0,0.02282818257046,1,1.11657104995216,0,0.03328732618423
akz,1,2,2.13995249454039,-1,2,2.14074678866807,0,0.00079429412768,2,2.14098724315284,0,0.00103474861245
ala,1,1,1.00628083221197,0,1,1.00635880887042,0,7.79766584499963E-05,1,1.00633991205311,0,5.90798411399529E-05
alc,2,2,2.10126933353956,0,2,2.18634906645419,0,0.08507973291463,2,2.23744518301564,0,0.13617584947608
ald,1,1,1.04044980203074,0,1,1.04104548876241,0,0.00059568673167,1,1.0421189599751,0,0.00166915794436
