,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017
61,Africa,Guinea,GIN,Guinea,GIN,GIN,6853467858,37.4,2.287420034,2010,1.6,56.765,15.04294665,25.321
62,Africa,Gambia,GMB,Gambia,GMB,GMB,910925126.2,42.6,3.182054996,2010,2.8,59.622,15.22019903,48.47
63,Africa,Guinea Bissau,GNB,Guinea Bissau,GNB,GNB,849050127.5,42.2,1.930940032,2010,2.6,55.05,15.04741662,29.345
64,Africa,Equatorial Guinea,GNQ,Equatorial Guinea,GNQ,GNQ,17361846463,49.2,2.19,1998,5.5,55.908,16.71668343,46.109
65,Europe,Greece,GRC,Greece,GRC,GRC,2.99E+11,33.2,3.963959932,2010,10.3,80.38780488,23.71208717,22.788
66,Europe,Denmark,DN1,Greenland,GRL,GRL,2490727405,25.1,7.907740116,2010,12.8,70.85707317,22.92931827,28.04
67,South America,Guatemala,GTM,Guatemala,GTM,GTM,41338521638,46.8,2.95517993,2010,4.6,71.494,21.63226021,19.559
68,South America,Guyana,GUY,Guyana,GUY,GUY,2273225042,46.3,3.752279997,2010,8.1,66.022,16.03593439,-2.471
69,South America,Honduras,HND,Honduras,HND,HND,15729644901,49.8,6.412970066,2010,5.4,72.446,22.12564887,33.71
70,Europe,Croatia,HRV,Croatia,HRV,HRV,59662318898,27.7,4.255320072,2010,10.8,76.47560976,20.56907444,26.513
71,South America,Haiti,HTI,Haiti,HTI,HTI,6988353381,52.85,3.1572299,2010,4.7,61.296,17.83876971,38.753
72,Europe,Hungary,HUN,Hungary,HUN,HUN,1.34E+11,27.4,4.768949986,2010,11.8,74.20731707,19.96608554,15.151
73,Asia,Indonesia,IDN,Indonesia,IDN,IDN,7.55E+11,45.6,3.238724947,2010,7.6,68.15,16.5115696,40.073
74,Asia,India,IND,India,IND,IND,1.68E+12,46.45,3.42347002,2010,5.4,66.625,17.73565852,15.676
75,Europe,Ireland,IRL,Ireland,IRL,IRL,2.30E+11,29.8,5.315760136,2010,11.9,80.74390244,23.58900192,17.763
76,Asia,Iran,IRN,Iran,IRN,IRN,4.62E+11,38.2,3.709180117,2010,9.1,73.932,19.42179561,40.659
77,Asia,Iraq,IRQ,Iraq,IRQ,IRQ,1.39E+11,30.2,3.55,1989,6.4,68.465,17.47771727,27.379
78,Europe,Iceland,ISL,Iceland,ISL,ISL,14170573428,26,7.371069908,2010,10.6,81.89756098,24.29174553,13.473
79,Europe,Israel,ISR,Israel,ISR,ISR,2.34E+11,36.6,5.697269917,2010,12.6,81.60243902,24.36444298,15.488
80,Europe,Italy,ITA,Italy,ITA,ITA,2.13E+12,33.1,4.164720058,2010,9.7,82.03658537,24.62641265,10.783
81,South America,Jamaica,JAM,Jamaica,JAM,JAM,13505052829,40.9,6.152930021,2010,8.9,74.883,22.16487385,21.609
82,Asia,Jordan,JOR,Jordan,JOR,JOR,26551480959,34.7,3.84,2016,9.9,73.412,19.02580149,39.868
83,Asia,Japan,JPN,Japan,JPN,JPN,5.78E+12,31.4,3.665380001,2010,11.5,82.84268293,25.74426557,28.263
84,Asia,Kazakhstan,KAZ,Kazakhstan,KAZ,KAZ,1.48E+11,26.1,2.707679987,2010,11.6,68.42926829,17.145447,13.138
85,Africa,Kenya,KEN,Kenya,KEN,KEN,40000088347,44.2,5.46399498,2010,6.1,62.936,18.37216881,19.2
86,Asia,Kyrgyzstan,KGZ,Kyrgyzstan,KGZ,KGZ,4817073517,34.1,5.985509872,2010,10.6,69.3,17.75606475,1.954
87,Asia,Cambodia,KHM,Cambodia,KHM,KHM,11242275199,34.75,1.599300027,2010,4.4,66.555,17.09379672,12.695
88,Asia,South Korea,KOR,South Korea,KOR,KOR,1.09E+12,31,4.766979933,2010,11.8,80.11707317,23.9542873,53.793
89,Europe,Kosovo,KOS,Kosovo,KOS,KOS,5830463576,30.8,NA,NA,NA,69.9,NA,NA
90,Asia,Kuwait,KWT,Kuwait,KWT,KWT,1.27E+11,NA,4.249129891,2010,6.7,73.979,17.61822182,25.107
91,Asia,Laos,LAO,Laos,LAO,LAO,7127792630,35,2.346319914,2010,4.6,64.357,16.62171847,26.422
92,Asia,Lebanon,LBN,Lebanon,LBN,LBN,38419626534,35.2,2.156290054,2010,7.9,78.43,22.10367415,46.086
93,Africa,Liberia,LBR,Liberia,LBR,LBR,2.00E+09,35.6,3.161420107,2010,4.1,59.631,15.49146557,32.065
94,Africa,Libya,LBY,Libya,LBY,LBY,63275999127,NA,NA,NA,7.3,71.629,18.27360931,52.494
95,Asia,Sri Lanka,LKA,Sri Lanka,LKA,LKA,56725749222,48.8,1.808609962,2010,10.9,74.352,20.43846708,1.953
96,Africa,Lesotho,LSO,Lesotho,LSO,LSO,2361613520,52.2,11.38967991,2010,5.8,50.826,15.54042209,24.218
97,Europe,Lithuania,LTU,Lithuania,LTU,LTU,40870192058,33.8,4.820549965,2010,11.9,73.26829268,20.44472151,28.056
98,Europe,Luxembourg,LUX,Luxembourg,LUX,LUX,53744023972,28.1,3.994390011,2010,11.8,80.63658537,23.71406579,21.171
99,Europe,Latvia,LVA,Latvia,LVA,LVA,26931897162,35.5,5.310075045,2010,12.5,73.48292683,19.79078595,15.208
100,Africa,Morocco,MAR,Morocco,MAR,MAR,93216746662,39.8,5.301395178,2010,4.2,73.999,20.09165922,32.551
101,Europe,Moldova,MDA,Moldova,MDA,MDA,6974960345,36.2,8.293430328,2010,11.1,69.616,17.30265747,19.133
102,Africa,Madagascar,MDG,Madagascar,MDG,MDG,8856903643,41.7,2.910409927,2010,6,63.388,16.87893811,25.88
103,South America,Mexico,MEX,Mexico,MEX,MEX,1.06E+12,46.1,5.103099823,2010,8.2,76.096,22.67395188,29.114
104,Europe,Macedonia,MKD,Macedonia,MKD,MKD,9407168702,34.3,3.3,2001,9.1,74.632,18.92548626,23.728
105,Africa,Mali,MLI,Mali,MLI,MLI,10678749467,37.9,3.52218008,2010,2,55.249,15.2297745,30.506
106,Asia,Myanmar,MMR,Myanmar,MMR,MMR,49540813342,33.3,0.787440002,2010,4.1,65.178,16.75979378,11.096
107,Europe,Montenegro,MNE,Montenegro,MNE,MNE,4156441979,31.25,4.501945019,2010,11.1,75.28,20.09934957,47.689
108,Asia,Mongolia,MNG,Mongolia,MNG,MNG,7189481824,33.3,4.702490091,2010,9.5,67.383,17.07980943,32.684
109,Africa,Mozambique,MOZ,Mozambique,MOZ,MOZ,10154238250,44,5.252820015,2010,3.2,54.7,16.77926346,28.587
110,Africa,Mauritania,MRT,Mauritania,MRT,MRT,4337794151,36.05,2.99477005,2010,3.8,61.997,16.45366603,45.944
111,Africa,Malawi,MWI,Malawi,MWI,MWI,6959655571,43.5,4.839839935,2010,4.3,57.263,17.97705899,12.324
112,Asia,Malaysia,MYS,Malaysia,MYS,MYS,2.55E+11,41.2,5.094384909,2010,9.8,74.21,19.52927447,48.849
113,Africa,Namibia,NAM,Namibia,NAM,NAM,11282192605,60,6.260900021,2010,6.2,58.189,17.05157697,31.096
114,Australia,France,FR1,New Caledonia,NCL,NCL,2.67E+12,29.4,5.500279903,2010,10.9,76.9804878,20.49823981,32.896
115,Africa,Niger,NER,Niger,NER,NER,5718664505,36.2,4.26742506,2010,1.4,56.838,15.95451803,10.557
116,Africa,Nigeria,NGA,Nigeria,NGA,NGA,3.63E+11,41.9,3.06,1975,5.2,50.847,13.68090624,34.109
117,South America,Nicaragua,NIC,Nicaragua,NIC,NIC,8758622329,42.95,4.125529766,2010,6,73.699,22.32969505,18.718
118,Europe,Netherlands,NL1,Netherlands,NLD,NLD,8.50E+11,26.8,5.475649834,2010,12,80.70243902,23.68650648,31.325
119,Europe,Norway,NOR,Norway,NOR,NOR,4.33E+11,24.6,6.86868,2010,12.6,80.99756098,24.00143532,31.951
120,Asia,Nepal,NPL,Nepal,NPL,NPL,16002656434,37.15,3.703589916,2010,3.3,67.914,17.26859835,15.856
121,Australia,New Zealand,NZ1,New Zealand,NZL,NZL,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468
122,Asia,Oman,OMN,Oman,OMN,OMN,57992197659,31.9,4.023544908,2010,8.1,75.694,20.52186071,67.16
123,Asia,Pakistan,PAK,Pakistan,PAK,PAK,1.77E+11,34.2,2.493439913,2010,4.7,65.134,17.7437307,14.338
124,South America,Panama,PAN,Panama,PAN,PAN,29440300000,47.3,3.330649972,2010,9.3,76.828,23.93778817,26.116
125,South America,Peru,PER,Peru,PER,PER,1.48E+11,46.9,2.867749929,2010,8.6,73.681,21.26524936,30.909
126,Asia,Philippines,PHL,Philippines,PHL,PHL,2.00E+11,41.6,2.595340014,2010,9,68.32,17.17240194,16.385
127,Australia,Papua New Guinea,PNG,Papua New Guinea,PNG,PNG,14250726290,47.8,2.01,2017,4,64.634,16.84059019,9.377
128,Europe,Poland,POL,Poland,POL,POL,4.79E+11,31.3,4.940110207,2010,11.9,76.24634146,21.38653359,12.213
129,South America,United States of America,US1,Puerto Rico,PRI,PRI,98381300000,37.4,6.276870012,2010,13.2,78.42585366,23.73826354,49.04
130,Asia,North Korea,PRK,North Korea,PRK,PRK,2.80E+10,NA,NA,NA,NA,69.572,NA,21.483
131,Europe,Portugal,PRT,Portugal,PRT,PRT,2.34E+11,33.7,5.070759773,2010,8.1,79.02682927,23.71829047,29.697
132,South America,Paraguay,PRY,Paraguay,PRY,PRY,27215968616,46.2,4.365349889,2010,7.7,72.285,21.03179725,25.731
133,Asia,Qatar,QAT,Qatar,QAT,QAT,1.25E+11,39.6,3.992059946,2010,9.2,77.301,20.44196026,13.803
134,Europe,Romania,ROU,Romania,ROU,ROU,1.73E+11,33.2,3.471485019,2010,10.7,73.45853659,19.97906313,19.727
135,Europe,Russia,RUS,Russia,RUS,RUS,1.58E+12,35.4,3.820250034,2010,11.5,68.84121951,18.69748701,20.561
136,Africa,Rwanda,RWA,Rwanda,RWA,RWA,5783152633,47.2,4.471560001,2010,3.7,63.14,18.15888087,14.525
137,Africa,Western Sahara,SAH,Western Sahara,SAH,SAH,4337794151,NA,2.99477005,2010,3.8,61.997,16.45366603,NA
138,Asia,Saudi Arabia,SAU,Saudi Arabia,SAU,SAU,5.28E+11,47.8,5.430920124,2010,3.8,73.574,18.3467682,52.372
139,Africa,Sudan,SDN,Sudan,SDN,SDN,64342607849,36.1,2.082225025,2010,3.1,62.62,17.76118621,23.624
140,Africa,South Sudan,SDS,South Sudan,SDS,SDS,11824809546,46.3,1.220049977,2010,4.8,53.655,16.39362405,10.598
141,Africa,Senegal,SEN,Senegal,SEN,SEN,16215069256,39.3,6.130660057,2010,2.4,64.177,16.67382201,23.74
142,Australia,Solomon Islands,SLB,Solomon Islands,SLB,SLB,681151190,42.1,9.416944981,2010,5.1,68.572,17.42621233,17.518
143,Africa,Sierra Leone,SLE,Sierra Leone,SLE,SLE,2578026297,39.1,2.662919998,2010,3.1,48.224,13.01385143,24.284
144,South America,El Salvador,SLV,El Salvador,SLV,SLV,18447920000,40.7,3.825449944,2010,6.5,71.902,21.53599054,32.921
145,Africa,Somalia,SOM,Somalia,SOM,SOM,2.37E+09,NA,1.28,1973,2.1,53.986,16.08375651,27.079
146,Europe,Republic of Serbia,SRB,Republic of Serbia,SRB,SRB,42380207344,34.3,4.501945019,2010,10.4,74.33658537,19.12432237,NA
147,South America,Suriname,SUR,Suriname,SUR,SUR,4368398048,52.1,NA,NA,7.7,70.335,18.55054644,18.781
148,Europe,Slovakia,SVK,Slovakia,SVK,SVK,90090397692,25.3,3.962310076,2010,11.6,75.11219512,20.41981662,20.287
149,Europe,Slovenia,SVN,Slovenia,SVN,SVN,47874936326,24.7,5.562510014,2010,11.9,79.42195122,23.0663874,26.069
150,Europe,Sweden,SWE,Sweden,SWE,SWE,4.89E+11,25.4,6.621990204,2010,12.4,81.45121951,24.15249104,14.656
151,Africa,Swaziland,SWZ,Swaziland,SWZ,SWZ,4438778424,58.8,6.554759979,2010,5.7,51.598,15.95482623,19.712
152,Asia,Syria,SYR,Syria,SYR,SYR,5.96E+10,35.3,5.001055002,2010,6.3,72.108,19.14610501,16.693
153,Africa,Chad,TCD,Chad,TCD,TCD,10657705536,41.1,2.232025027,2010,1.9,50.233,15.73805244,16.163
154,Africa,Togo,TGO,Togo,TGO,TGO,3426022206,42.1,4.42320013,2010,4.3,57.465,15.05527786,31.064
155,Asia,Thailand,THA,Thailand,THA,THA,3.41E+11,40.6,3.93859005,2010,7.5,73.923,21.68005885,29.528
156,Asia,Tajikistan,TJK,Tajikistan,TJK,TJK,5642178580,44,3.935110092,2010,10.7,69.644,18.53265046,-6.186
157,Asia,Turkmenistan,TKM,Turkmenistan,TKM,TKM,22583157895,35.2,3.049249887,2010,9.8,66.657,17.36734144,4.741
158,Asia,East Timor,TLS,East Timor,TLS,TLS,3998961314,31.5,1.870329976,2010,4.4,67.313,16.89858212,20.121
159,South America,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,TTO,22157948396,41.8,3.14,2003,10.7,69.756,18.22008902,19.05
160,Africa,Tunisia,TUN,Tunisia,TUN,TUN,43206394579,37.7,6.445080042,2010,6.7,74.793,19.75589868,31.131
161,Europe,Turkey,TUR,Turkey,TUR,TUR,7.72E+11,40.4,4.364099979,2010,6.7,74.154,20.85685208,43.129
162,Asia,Taiwan,TWN,Taiwan,TWN,TWN,4.46E+11,30.4,4.22,2010,11.09,79.14541653,23.20677581,46.39
163,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,TZA,32014249841,44.2,4.04365015,2010,5.1,60.893,18.01799225,27.807
164,Africa,Uganda,UGA,Uganda,UGA,UGA,20186496527,41.3,2.436074972,2010,5.3,57.153,17.17759568,18.779
165,Europe,Ukraine,UKR,Ukraine,UKR,UKR,1.40E+11,27,6.208730221,2010,11.3,70.26536585,18.36712236,22.454
166,South America,Uruguay,URY,Uruguay,URY,URY,40284481652,39.3,2.880259991,2010,8.4,76.588,21.96237506,14.999
167,North America,United States of America,US1,United States of America,USA,USA,1.50E+13,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,12.062
168,Asia,Uzbekistan,UZB,Uzbekistan,UZB,UZB,39332770929,NA,7.283539772,2010,10.7,70.005,18.02184074,16.572
169,South America,Venezuela,VEN,Venezuela,VEN,VEN,4.04E+11,38,3.669059992,2010,8.9,73.625,20.68523194,26.57
170,Asia,Vietnam,VNM,Vietnam,VNM,VNM,1.16E+11,37.4,5.011980057,2010,7.6,75.117,22.32118785,20.513
171,Australia,Vanuatu,VUT,Vanuatu,VUT,VUT,700804286.2,38.1,5.281409979,2010,6.7,70.721,18.01422071,14.759
172,Europe,Palestine,PSE,West Bank,WEB,PSE,8913100000,35.4,5.302499771,2010,8.5,72.444,18.53287029,8.185
