Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
=/Kx'au//'ein	=/Kx?au//?ein	aue	NA	kxau1241	Bookkeeping	NA	NA	NA	overview	NA	language	S Africa	21.1793	-21.0554
Maligo	Maligo	mwj	NA	mali1287	Bookkeeping	NA	NA	NA	overview	NA	language	S Africa	15.7421	-7.93095
!O!ung	!O!ung	oun	NA	oung1238	Bookkeeping	NA	NA	NA	grammar_sketch	NA	language	S Africa	14.35	-15.3
Emok	Emok	emo	NA	emok1238	Bookkeeping	NA	NA	NA	wordlist	NA	language	SE South America	-57.8892	-24.9202
Sanapaná (Retired)	Sanapana_Retired	sap	NA	sana1281	Bookkeeping	NA	NA	NA	grammar	NA	language	SE South America	-58.90698	-22.11454
Chol, Tila	Chol,_Tila	cti	NA	chol1285	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzeltal, Bachajón	Tzeltal,_Bachajon	tzb	NA	tzel1255	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzotzil, Chamula	Tzotzil,_Chamula	tzc	NA	tzot1262	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzotzil, Chenalhó	Tzotzil,_Chenalho	tze	NA	tzot1263	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzotzil, San Andrés Larrainzar	Tzotzil,_San_Andres_Larrainzar	tzs	NA	tzot1260	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzotzil, Huixtán	Tzotzil,_Huixtan	tzu	NA	tzot1261	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tzotzil, Zinacantán	Tzotzil,_Zinacantan	tzz	NA	tzot1264	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Huastec, Southeastern	Huastec,_Southeastern	hsf	NA	huas1256	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Huastec, San Luís Potosí	Huastec,_San_Luis_Potosi	hva	NA	huas1255	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Chuj, Ixtatán	Chuj,_Ixtatan	cnm	NA	chuj1251	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Jakalteko, Western	Jakalteko,_Western	jai	NA	jaka1246	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Ixil, Nebaj	Ixil,_Nebaj	ixi	NA	ixil1253	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Ixil, Chajul	Ixil,_Chajul	ixj	NA	ixil1252	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Mam, Southern	Mam,_Southern	mms	NA	mams1234	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Mam, Tajumulco	Mam,_Tajumulco	mpf	NA	mamt1234	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tacanec	Tacanec	mtz	NA	taca1258	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Mam, Central	Mam,_Central	mvc	NA	mamc1234	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Mam, Todos Santos Cuchumatán	Mam,_Todos_Santos_Cuchumatan	mvj	NA	mamt1235	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Poqomam, Eastern	Poqomam,_Eastern	poa	NA	poqo1257	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Poqomchi', Western	Poqomchi?,_Western	pob	NA	poqo1256	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Poqomam, Southern	Poqomam,_Southern	pou	NA	poqo1255	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Yepocapa Southwestern	Kaqchikel,_Yepocapa_Southwestern	cbm	NA	kaqc1271	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Northern	Kaqchikel,_Northern	ckc	NA	kaqc1275	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, South Central	Kaqchikel,_South_Central	ckd	NA	kaqc1272	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Eastern	Kaqchikel,_Eastern	cke	NA	kaqc1273	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Southern	Kaqchikel,_Southern	ckf	NA	kaqc1274	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Santa María de Jesús	Kaqchikel,_Santa_Maria_de_Jesus	cki	NA	kaqc1276	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Santo Domingo Xenacoj	Kaqchikel,_Santo_Domingo_Xenacoj	ckj	NA	kaqc1278	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Akatenango Southwestern	Kaqchikel,_Akatenango_Southwestern	ckk	NA	kaqc1277	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Kaqchikel, Western	Kaqchikel,_Western	ckw	NA	kaqc1279	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Achi', Cubulco	Achi?,_Cubulco	acc	NA	achi1258	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
K'iche', Cunén	K?iche?,_Cunen	cun	NA	kich1264	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
K'iche', Joyabaj	K?iche?,_Joyabaj	quj	NA	kich1267	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
K'iche', West Central	K?iche?,_West_Central	qut	NA	kich1266	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
K'iche', Eastern	K?iche?,_Eastern	quu	NA	kich1265	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
K'iche', San Andrés	K?iche?,_San_Andres	qxi	NA	kich1263	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Tz'utujil, Western	Tz?utujil,_Western	tzt	NA	tzut1249	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Maya, Chan Santa Cruz	Maya,_Chan_Santa_Cruz	yus	NA	maya1286	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Quetzaltepec Mixe	Quetzaltepec_Mixe	pxm	NA	quet1239	Bookkeeping	Mixe-Zoquean, Mixean, Oaxaca Mixean	8090	threatened	phonology	6b (Threatened).	language	Mesoamerica	-95.67269	16.92147
Calo	Calo	rmr	NA	calo1235	Bookkeeping	NA	NA	NA	overview	NA	language	Europe	-3.5144	40.8339
N'Ko	N?Ko	nqo	NA	nkoa1234	Bookkeeping	Mixed language	0	extinct	NA	9 (Second language only).	language	NA	NA	NA
Chetco	Chetco	ctc	NA	chet1237	Bookkeeping	Eyak-Athabaskan, Athabaskan, Pacific Coast Athabaskan, Oregon Athabaskan, Tolowa-Chetco	5	extinct	NA	8b (Nearly extinct).	language	California	-124.376	42.6864
Bainouk-Samik	BainoukSamik	bcb	NA	bain1260	Bookkeeping	Niger-Congo, Atlantic-Congo, Atlantic, Northern, Eastern Senegal-Guinea, Banyun	1850	shifting	NA	6b (Threatened).	language	African Savannah	-15.9969	12.5053
Baga Mboteni	Baga_Mboteni	bgm	NA	baga1276	Bookkeeping	NA	NA	shifting	wordlist	NA	language	African Savannah	-12.07358	12.27246
Baga Kaloum	Baga_Kaloum	bqf	NA	baga1271	Bookkeeping	Niger-Congo, Atlantic-Congo, Atlantic, Southern, Mel, Temne, Baga	0	extinct	NA	10 (Extinct).	language	African Savannah	-12.887	9.951
Baga Sobané	Baga_Sobane	bsv	NA	baga1274	Bookkeeping	Niger-Congo, Atlantic-Congo, Atlantic, Southern, Mel, Temne, Baga	0	extinct	NA	10 (Extinct).	language	African Savannah	-13.9054	9.98865
