ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
TTS-THA,tts-THA,tts-th,tts-TH,Northeastern Thai,"Thai, Northeastern","THAI, NORTHEASTERN","Thai, Northeastern",tts
QUH-BOL,quh-BOL,quh-bo,quh-BL,South Bolivian Quechua,"Quechua, South Bolivian","QUECHUA, SOUTH BOLIVIAN","Quechua, South Bolivian",quh
ELL-GRC,ell-GRC,ell-gr,ell-GR,Greek,Greek,GREEK,Greek,ell
AEC-EGY,aec-EGY,aec-eg,aec-EG,Sa’idi Spoken Arabic,"Arabic, Sa’idi Spoken","ARABIC, SA’IDI SPOKEN","Arabic, Sa’idi Spoken",aec
WUU-CHN,wuu-CHN,wuu-cn,wuu-CH,Wu Chinese,"Chinese, Wu","CHINESE, WU","Chinese, Wu",wuu
SKG-MDG,skg-MDG,skg-mg,skg-MA,Sakalava Malagasy,"Malagasy, Sakalava","MALAGASY, SAKALAVA","Malagasy, Sakalava",skg
TSN-ZAF,tsn-ZAF,tsn-za,tsn-SF,Tswana,Tswana,TSWANA,Tswana,tsn
AZB-IRN,azb-IRN,azb-ir,azb-IR,South Azerbaijani,"Azerbaijani, South","AZERBAIJANI, SOUTH","Azerbaijani, South",azb
AYL-NER,ayl-NER,ayl-ne,ayl-NG,Libyan Spoken Arabic,"Arabic, Libyan Spoken","ARABIC, LIBYAN SPOKEN","Arabic, Libyan Spoken",ayl
AFB-SAU,afb-SAU,afb-sa,afb-SA,Gulf Spoken Arabic,"Arabic, Gulf Spoken","ARABIC, GULF SPOKEN","Arabic, Gulf Spoken",afb
XHO-ZAF,xho-ZAF,xho-za,xho-SF,Xhosa,Xhosa,XHOSA,Xhosa,xho
THA-THA,tha-THA,tha-th,tha-TH,Thai,Thai,THAI,Thai,tha
SHU-TCD,shu-TCD,shu-td,shu-CD,Chadian Spoken Arabic,"Arabic, Chadian Spoken","ARABIC, CHADIAN SPOKEN","Arabic, Chadian Spoken",shu
SPA-ECU,spa-ECU,spa-ec,spa-EC,Spanish,Spanish,SPANISH,Spanish,spa
ESI-USA,esi-USA,esi-us,esi-US,North Alaskan Inupiatun,"Inupiatun, North Alaskan","INUPIATUN, NORTH ALASKAN","Inupiatun, North Alaskan",esi
TTQ-NER,ttq-NER,ttq-ne,ttq-NG,Tawallammat Tamajaq,"Tamajaq, Tawallammat","TAMAJAQ, TAWALLAMMAT","Tamajaq, Tawallammat",ttq
GUJ-IND,guj-IND,guj-in,guj-IN,Gujarati,Gujarati,GUJARATI,Gujarati,guj
CJK-AGO,cjk-AGO,cjk-ao,cjk-AO,Cokwe,Cokwe,COKWE,Cokwe,cjk
LUB-COD,lub-COD,lub-cd,lub-CG,Luba-Katanga,Luba-Katanga,LUBA-KATANGA,Luba-Katanga,lub
TUK-TKM,tuk-TKM,tuk-tm,tuk-TX,Turkmen,Turkmen,TURKMEN,Turkmen,tuk
KHM-KHM,khm-KHM,khm-kh,khm-CB,Central Khmer,"Khmer, Central","KHMER, CENTRAL","Khmer, Central",khm
PLT-MDG,plt-MDG,plt-mg,plt-MA,Plateau Malagasy,"Malagasy, Plateau","MALAGASY, PLATEAU","Malagasy, Plateau",plt
YUA-MEX,yua-MEX,yua-mx,yua-MX,Yucatec Maya,"Maya, Yucatec","MAYA, YUCATEC","Maya, Yucatec",yua
BGN-PAK,bgn-PAK,bgn-pk,bgn-PK,Western Balochi,"Balochi, Western","BALOCHI, WESTERN","Balochi, Western",bgn
AMH-ETH,amh-ETH,amh-et,amh-ET,Amharic,Amharic,AMHARIC,Amharic,amh
