,P[Y=1],P[Y=2],P[Y=3],y_hat,y_avg,y_obs,residual1,residual2
ako,0.512030722,0.410299901,0.077669377,1,1.565638655,2,0.434361345,1
akp,0.99907152,0.00092513,3.35E-06,1,1.000931831,1,-0.000931831,0
akq,0.548004815,0.386650031,0.065345154,1,1.51734034,2,0.48265966,1
aks,0.999188185,0.000809034,2.78E-06,1,1.000814596,1,-0.000814596,0
akt,0.97195226,0.027566132,0.000481608,1,1.028529348,1,-0.028529348,0
aku,0.885623535,0.109637839,0.004738626,1,1.119115091,1,-0.119115091,0
akv,0.95532504,0.043672829,0.001002131,1,1.04567709,1,-0.04567709,0
akw,0.980124715,0.01959196,0.000283325,1,1.02015861,1,-0.02015861,0
akx,0.005598171,0.120351725,0.874050104,3,2.868451933,3,0.131548067,0
aky,0.008305576,0.149277693,0.842416731,3,2.834111155,3,0.165888845,0
akz,0.323752066,0.500974996,0.175272939,2,1.851520873,1,-0.851520873,-1
ala,0.98329674,0.016485794,0.000217466,1,1.016920727,1,-0.016920727,0
alc,0.097101647,0.439755353,0.463143,3,2.366041353,2,-0.366041353,-1
ald,0.992305336,0.007626254,6.84E-05,1,1.007763074,1,-0.007763074,0
ale,0.46322696,0.43970769,0.097065349,1,1.633838389,1,-0.633838389,0
alf,0.884108534,0.111044247,0.004847219,1,1.120738685,1,-0.120738685,0
alh,0.375487312,0.482968801,0.141543887,2,1.766056574,2,0.233943426,0
ali,0.988771281,0.011109001,0.000119717,1,1.011348436,1,-0.011348436,0
alj,0.979017883,0.020674307,0.00030781,1,1.021289927,1,-0.021289927,0
alk,0.98611548,0.013720001,0.000164518,1,1.014049038,1,-0.014049038,0
all,0.793455677,0.192965125,0.013579198,1,1.220123521,1,-0.220123521,0
alm,0.928078067,0.069752332,0.0021696,1,1.074091533,1,-0.074091533,0
aln,0.999997009,2.99E-06,1.63E-09,1,1.000002992,1,-2.99244E-06,0
alo,0.979542971,0.02016093,0.000296099,1,1.020753127,1,-0.020753127,0
alp,0.990766989,0.009143495,8.95E-05,1,1.009322527,1,-0.009322527,0
alq,0.885055946,0.110164882,0.004779172,1,1.119723226,1,-0.119723226,0
alr,0.299456787,0.506968854,0.193574358,2,1.894117571,2,0.105882429,0
als,0.999670121,0.000329072,8.07E-07,1,1.000330687,1,-0.000330687,0
alt,0.91571819,0.081458249,0.002823561,1,1.087105372,1,-0.087105372,0
alu,0.999190806,0.000806426,2.77E-06,1,1.000811963,1,-0.000811963,0
alw,0.999651547,0.000347583,8.70E-07,1,1.000349323,1,-0.000349323,0
alx,0.950935568,0.047900088,0.001164344,1,1.050228776,1,-0.050228776,0
aly,0.855260797,0.137596983,0.00714222,1,1.151881424,1,-0.151881424,0
alz,0.999628506,0.000370545,9.49E-07,1,1.000372444,1,-0.000372444,0
ama,0.067839586,0.391811426,0.540348988,3,2.472509401,3,0.527490599,0
amb,0.848924533,0.143370419,0.007705048,1,1.158780515,1,-0.158780515,0
amc,0.919609622,0.077781018,0.00260936,1,1.082999737,1,-0.082999737,0
ame,0.986967681,0.01288273,0.000149589,1,1.013181908,1,-0.013181908,0
amf,0.999020024,0.000976364,3.61E-06,1,1.000983587,1,-0.000983587,0
amg,0.298354665,0.507198287,0.194447048,2,1.896092383,2,0.103907617,0
amh,0.99999997,2.97E-08,4.83E-12,1,1.00000003,1,-2.9689E-08,0
ami,0.971126107,0.028370048,0.000503845,1,1.029377738,1,-0.029377738,0
amj,0.940273453,0.058126516,0.001600031,1,1.061326579,1,-0.061326579,0
amk,0.991061086,0.008853584,8.53E-05,1,1.009024245,1,-0.009024245,0
aml,0.998872153,0.001123455,4.39E-06,1,1.00113224,1,-0.00113224,0
amm,0.92940645,0.068489648,0.002103902,1,1.072697453,1,-0.072697453,0
amn,0.99421308,0.005741838,4.51E-05,1,1.005832002,1,-0.005832002,0
amo,0.993087181,0.006854366,5.85E-05,1,1.006971272,1,-0.006971272,0
amp,0.98822135,0.011650077,0.000128573,1,1.011907222,1,-0.011907222,0
amr,0.675095732,0.292370324,0.032533943,1,1.357438211,1,-0.357438211,0
ams,0.648510837,0.313297392,0.038191771,1,1.389680934,1,-0.389680934,0
amt,0.90332838,0.093115211,0.003556409,1,1.100228029,1,-0.100228029,0
amu,0.984519967,0.015286205,0.000193827,1,1.01567386,1,-0.01567386,0
amv,0.849077359,0.143231421,0.00769122,1,1.158613861,1,-0.158613861,0
amw,0.924833888,0.072832319,0.002333794,1,1.077499906,1,-0.077499906,0
