,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7],y_hat,y_avg,y_obs,residual1,residual2
for,0.956422263,0.037589961,0.004683806,0.001046467,0.00025041,6.75E-06,3.39E-07,1,1.051134418,1,-0.051134418,0
fos,3.00E-05,0.000631974,0.002671053,0.008866574,0.071184527,0.141421411,0.775194488,7,6.675585889,6,-0.675585889,-1
fpe,0.569999202,0.266121539,0.09394793,0.043656449,0.02377248,0.002204286,0.000298115,1,1.692886782,1,-0.692886782,0
fqs,0.893691525,0.086061195,0.014804204,0.004130942,0.001259204,4.96E-05,3.34E-06,1,1.133367239,1,-0.133367239,0
frc,0.339243841,0.311651522,0.161134934,0.099092684,0.075525266,0.01111316,0.002238594,1,2.302297867,3,0.697702133,2
frd,0.530986994,0.279588155,0.105274056,0.051265319,0.029502032,0.002956492,0.000426953,1,1.779284527,2,0.220715473,1
frp,0.727753512,0.192725269,0.051193737,0.019391572,0.00833064,0.000549264,5.60E-05,1,1.389692372,4,2.610307628,3
frr,0.577638916,0.263251345,0.091755211,0.04224464,0.022754764,0.002077732,0.000277391,1,1.676567751,3,1.323432249,2
frs,0.350784358,0.311630548,0.157942187,0.095699635,0.071628009,0.010287101,0.002028162,1,2.264730338,3,0.735269662,2
frt,0.551676494,0.272697808,0.0992426,0.047146167,0.026349079,0.002534352,0.0003535,1,1.732810585,2,0.267189415,1
fry,0.78373337,0.160025105,0.037697552,0.013112772,0.005112545,0.000292137,2.65E-05,1,1.296828506,1,-0.296828506,0
fub,0.999476789,0.000500694,2.02E-05,2.12E-06,2.31E-07,1.70E-09,3.19E-11,1,1.000548314,1,-0.000548314,0
fuc,0.996566353,0.003205754,0.00019664,2.73E-05,3.95E-06,4.69E-08,1.26E-09,1,1.003696839,1,-0.003696839,0
fue,0.973218853,0.023639568,0.002523256,0.000507332,0.000108442,2.44E-06,1.07E-07,1,1.030654697,1,-0.030654697,0
fuf,0.993945864,0.005589718,0.000394626,6.01E-05,9.58E-06,1.34E-07,4.06E-09,1,1.006598209,1,-0.006598209,0
fuh,0.993985366,0.005554038,0.000391454,5.95E-05,9.48E-06,1.32E-07,4.01E-09,1,1.006554134,1,-0.006554134,0
fui,0.956907545,0.037193662,0.004617305,0.001029002,0.000245561,6.60E-06,3.30E-07,1,1.050532477,1,-0.050532477,0
fuj,0.358209105,0.311466172,0.155863291,0.093552009,0.069217441,0.009788334,0.001903647,1,2.2410821,2,-0.2410821,1
fun,0.151687035,0.2585411,0.196463197,0.161531159,0.177103187,0.041724961,0.01294936,2,3.130794686,3,-0.130794686,1
fuq,0.985958041,0.012684858,0.001120994,0.000198371,3.70E-05,6.70E-07,2.48E-08,1,1.015673622,1,-0.015673622,0
fur,0.922125907,0.064725145,0.009879401,0.002537602,0.000706323,2.42E-05,1.46E-06,1,1.095051619,1,-0.095051619,0
fuu,0.929525858,0.059007237,0.00868296,0.002174665,0.000588856,1.93E-05,1.13E-06,1,1.085355826,1,-0.085355826,0
fuv,0.996976986,0.002828592,0.000168284,2.29E-05,3.24E-06,3.72E-08,9.73E-10,1,1.003246894,1,-0.003246894,0
fuy,0.966935141,0.028917233,0.003295574,0.000692805,0.000155297,3.77E-06,1.75E-07,1,1.03822791,1,-0.03822791,0
fvr,0.959961202,0.034691193,0.004204033,0.000921588,0.000216066,5.64E-06,2.76E-07,1,1.046758155,1,-0.046758155,0
fwa,0.205617632,0.286621363,0.191510191,0.142772439,0.138224174,0.027813038,0.007441162,2,2.834567923,2,-0.834567923,0
fwe,0.952463078,0.040809287,0.005234512,0.001192941,0.000291625,8.14E-06,4.19E-07,1,1.056066837,1,-0.056066837,0
gaa,0.978472927,0.019166367,0.001915615,0.000368365,7.51E-05,1.57E-06,6.45E-08,1,1.024411292,1,-0.024411292,0
gab,0.878356158,0.097171612,0.017654747,0.005117424,0.001626878,6.83E-05,4.85E-06,1,1.154711646,1,-0.154711646,0
gad,0.942707456,0.048640495,0.006650045,0.001583332,0.000405806,1.22E-05,6.66E-07,1,1.068378803,1,-0.068378803,0
gae,0.266528482,0.304471365,0.179665254,0.121959136,0.105001257,0.018150327,0.004224179,2,2.565781017,4,1.434218983,2
gaf,0.935134928,0.054625007,0.007801943,0.001914278,0.000506892,1.60E-05,9.11E-07,1,1.078084968,1,-0.078084968,0
gag,0.849800814,0.117156641,0.023284149,0.007185877,0.0024493,0.000114387,8.83E-06,1,1.195704701,1,-0.195704701,0
gah,0.952808936,0.040529034,0.005185836,0.001179865,0.000287907,8.01E-06,4.12E-07,1,1.055634453,3,1.944365547,2
gai,0.88915948,0.08937277,0.015633278,0.004413335,0.001362659,5.47E-05,3.75E-06,1,1.139626104,1,-0.139626104,0
gaj,0.951313629,0.04173938,0.005397055,0.00123678,0.000304144,8.57E-06,4.45E-07,1,1.057505908,1,-0.057505908,0
gak,0.475378347,0.295126364,0.121669509,0.063304859,0.039415348,0.004406892,0.000698681,1,1.912267898,1,-0.912267898,0
gal,0.860830007,0.109544243,0.021062635,0.006351495,0.00210978,9.47E-05,7.09E-06,1,1.179679411,1,-0.179679411,0
gam,0.813986252,0.140971161,0.030874933,0.010201203,0.003753133,0.000196668,1.67E-05,1,1.249420408,1,-0.249420408,0
gao,0.868787541,0.103968959,0.019496225,0.005777165,0.001882055,8.21E-05,6.00E-06,1,1.168267396,1,-0.168267396,0
gap,0.823893862,0.134520374,0.028719918,0.009320315,0.00336057,0.000170845,1.41E-05,1,1.234302361,1,-0.234302361,0
gaq,0.806951694,0.145488076,0.032429393,0.010848367,0.004047271,0.000216555,1.86E-05,1,1.260275686,2,0.739724314,1
gar,0.858535524,0.111138862,0.021520031,0.006521412,0.002178106,9.86E-05,7.43E-06,1,1.182993339,1,-0.182993339,0
gas,0.915756366,0.069590699,0.010938829,0.002867378,0.000816037,2.89E-05,1.79E-06,1,1.103489888,1,-0.103489888,0
gat,0.780693881,0.161885963,0.038402284,0.013423837,0.005263083,0.00030324,2.77E-05,1,1.301696847,1,-0.301696847,0
gau,0.540158254,0.276605071,0.102594189,0.049415768,0.028071364,0.002762504,0.00039285,1,1.758495826,1,-0.758495826,0
gaw,0.961044102,0.033800074,0.004059674,0.000884539,0.000206028,5.32E-06,2.59E-07,1,1.045425324,1,-0.045425324,0
gax,0.996959968,0.002844245,0.000169442,2.30E-05,3.27E-06,3.76E-08,9.84E-10,1,1.003265512,1,-0.003265512,0
gay,0.811703324,0.142442786,0.031377215,0.010409249,0.003847171,0.000202977,1.73E-05,1,1.252932203,2,0.747067797,1
gaz,0.999236321,0.000727999,3.18E-05,3.51E-06,4.04E-07,3.25E-09,6.53E-11,1,1.000803693,1,-0.000803693,0
gbb,0.594483767,0.256662189,0.086954927,0.03922041,0.020622755,0.001819849,0.000236104,1,1.641240158,2,0.358759842,1
gbd,0.098286298,0.214095074,0.191030508,0.177714992,0.228583612,0.06561558,0.024673936,5,3.51975703,4,0.48024297,-1
gbe,0.672106795,0.221878543,0.065580391,0.026811036,0.012574564,0.000942008,0.000106663,1,1.489120705,1,-0.489120705,0
gbf,0.816888998,0.139092002,0.030239351,0.009939415,0.003635515,0.000188843,1.59E-05,1,1.244970477,1,-0.244970477,0
gbg,0.952939852,0.040422903,0.005167438,0.001174929,0.000286506,7.96E-06,4.09E-07,1,1.055470858,1,-0.055470858,0
gbh,0.875395287,0.09928592,0.018219552,0.005317959,0.00170369,7.24E-05,5.19E-06,1,1.158886809,1,-0.158886809,0
gbi,0.889121668,0.089400299,0.015640243,0.004415723,0.001363541,5.48E-05,3.75E-06,1,1.139678497,1,-0.139678497,0
gbj,0.880510642,0.095626912,0.017246641,0.004973545,0.001572183,6.55E-05,4.61E-06,1,1.151684561,2,0.848315439,1
gbk,0.928633417,0.059700611,0.008825229,0.002217272,0.000602458,1.98E-05,1.16E-06,1,1.086518948,1,-0.086518948,0
gbl,0.972877429,0.023928279,0.002563998,0.000516884,0.000110794,2.51E-06,1.10E-07,1,1.031063293,1,-0.031063293,0
gbm,0.995539804,0.004144034,0.000270964,3.92E-05,5.93E-06,7.58E-08,2.15E-09,1,1.004827644,1,-0.004827644,0
gbn,0.531466029,0.279435185,0.105133854,0.051167776,0.029425971,0.002946078,0.000425107,1,1.77819114,3,1.22180886,2
gbo,0.977362704,0.020116474,0.002040874,0.000396448,8.17E-05,1.73E-06,7.24E-08,1,1.025723445,1,-0.025723445,0
gbp,0.984575917,0.013892328,0.001260618,0.000227092,4.32E-05,8.06E-07,3.05E-08,1,1.017271885,1,-0.017271885,0
gbq,0.94944281,0.043248887,0.00566409,0.001309379,0.000325053,9.29E-06,4.88E-07,1,1.059854809,1,-0.059854809,0
gbr,0.994369223,0.005206946,0.000360898,5.43E-05,8.55E-06,1.17E-07,3.49E-09,1,1.006126334,1,-0.006126334,0
gbs,0.957507026,0.036703582,0.004535464,0.001007576,0.000239632,6.40E-06,3.19E-07,1,1.049789684,1,-0.049789684,0
gbu,0.028191202,0.106215001,0.137141889,0.170476615,0.322915429,0.146372695,0.088687169,5,4.447576827,5,0.552423173,0
gbv,0.976252752,0.021063675,0.002167829,0.000425221,8.85E-05,1.91E-06,8.08E-08,1,1.027039161,1,-0.027039161,0
gbx,0.936446915,0.053593847,0.007599218,0.001855231,0.000488593,1.53E-05,8.65E-07,1,1.076394195,1,-0.076394195,0
gby,0.9911459,0.008102151,0.000631428,0.000102688,1.75E-05,2.75E-07,9.08E-09,1,1.009744696,1,-0.009744696,0
gbz,0.337973452,0.311636007,0.161483276,0.099470264,0.07596583,0.01120807,0.002263101,1,2.306495629,4,1.693504371,3
gcc,0.887772921,0.090381186,0.015889202,0.004501269,0.001395176,5.64E-05,3.88E-06,1,1.141549212,1,-0.141549212,0
gcd,0.000374221,0.004726532,0.014066534,0.034645318,0.175583426,0.22512855,0.545475419,7,6.237624522,5,-1.237624522,-2
gce,0.000306998,0.004049833,0.01241877,0.031368133,0.165162244,0.219827043,0.566866978,7,6.283977834,7,0.716022166,0
gcf,0.969187166,0.027034323,0.003013452,0.000624011,0.000137639,3.26E-06,1.48E-07,1,1.035501008,1,-0.035501008,0
gcl,0.930611476,0.058162354,0.008510661,0.002123269,0.000572519,1.86E-05,1.08E-06,1,1.08394325,1,-0.08394325,0
gcn,0.776122942,0.164666031,0.039468463,0.013898035,0.00549445,0.000320497,2.96E-05,1,1.30905484,1,-0.30905484,0
gcr,0.851254018,0.11616122,0.022988168,0.007073396,0.002402952,0.000111658,8.59E-06,1,1.193579367,1,-0.193579367,0
gda,0.404902386,0.307899472,0.142455773,0.08068174,0.055628974,0.007152145,0.00127951,1,2.100809917,1,-1.100809917,0
gdb,0.912245324,0.072251008,0.011534043,0.003055939,0.000879956,3.17E-05,2.00E-06,1,1.108177385,1,-0.108177385,0
gdc,0.004095691,0.028655692,0.056698998,0.099479268,0.305594887,0.23549564,0.269979824,5,5.460228183,6,0.539771817,1
gdd,0.939265035,0.051370925,0.007168186,0.00173081,0.000450402,1.39E-05,7.71E-07,1,1.072775312,1,-0.072775312,0
gde,0.935295759,0.054498728,0.007777022,0.001907002,0.000504631,1.60E-05,9.06E-07,1,1.077877498,1,-0.077877498,0
gdf,0.92462106,0.062805088,0.009471759,0.002412782,0.000665521,2.24E-05,1.34E-06,1,1.091769325,1,-0.091769325,0
gdg,0.863808243,0.107465793,0.020472738,0.006133821,0.00202288,8.99E-05,6.67E-06,1,1.175393542,1,-0.175393542,0
gdh,0.038773163,0.129041455,0.153089081,0.177949973,0.307695168,0.12558167,0.067869491,5,4.234975501,5,0.765024499,0
gdj,0.033873771,0.118945698,0.146363502,0.175122191,0.31490107,0.134473923,0.076319845,5,4.326932238,5,0.673067762,0
gdk,0.495981508,0.28989458,0.115573843,0.05867669,0.035480493,0.003809497,0.00058339,1,1.861542134,3,1.138457866,2
gdl,0.932126542,0.056980632,0.00827162,0.002052341,0.000550099,1.77E-05,1.02E-06,1,1.081976143,1,-0.081976143,0
gdm,0.516495469,0.284065425,0.109526003,0.054265313,0.031874524,0.003286926,0.000486341,1,1.81276414,3,1.18723586,2
gdn,0.842180138,0.122339211,0.024852167,0.007788348,0.002700503,0.00012943,1.02E-05,1,1.206918969,1,-0.206918969,0
gdo,0.355497484,0.311539663,0.15662463,0.094333138,0.070089254,0.009967644,0.001948187,1,2.249672693,3,0.750327307,2
gdq,0.677929664,0.218988309,0.064034516,0.025978253,0.012076096,0.000893103,0.000100058,1,1.478362351,3,1.521637649,2
gdr,0.886765736,0.091112304,0.016075762,0.004565594,0.001419052,5.76E-05,3.98E-06,1,1.142948555,1,-0.142948555,0
gdu,0.5967695,0.25574082,0.086307433,0.038819363,0.020344963,0.001786985,0.000230937,1,1.63651417,1,-0.63651417,0
gdx,0.986868415,0.011886628,0.001030989,0.00018016,3.32E-05,5.88E-07,2.14E-08,1,1.014624946,2,0.985375054,1
gea,0.782300837,0.160903357,0.038029273,0.013258956,0.005183167,0.000297333,2.71E-05,1,1.299120566,1,-0.299120566,0
geb,0.875829703,0.098976328,0.0181364,0.005288334,0.001692301,7.18E-05,5.14E-06,1,1.15827314,1,-0.15827314,0
gec,0.946435323,0.045664564,0.006099675,0.001429291,0.00036005,1.05E-05,5.63E-07,1,1.063648036,1,-0.063648036,0
ged,0.932243742,0.05688909,0.008253198,0.002046893,0.000548383,1.77E-05,1.02E-06,1,1.081824183,1,-0.081824183,0
geh,0.650657758,0.232193909,0.071349293,0.029994806,0.014529676,0.001140367,0.000134191,1,1.529502598,1,-0.529502598,0
gei,0.261202108,0.303390181,0.180872798,0.123728354,0.107550096,0.018825147,0.004431316,2,2.587234853,2,-0.587234853,0
gej,0.968259478,0.027811088,0.003128971,0.000652041,0.000144797,3.47E-06,1.59E-07,1,1.036622628,1,-0.036622628,0
gek,0.773564656,0.166212351,0.04006849,0.014166799,0.005626579,0.000330455,3.07E-05,1,1.313192342,1,-0.313192342,0
gel,0.88911773,0.089403167,0.015640969,0.004415972,0.001363632,5.48E-05,3.75E-06,1,1.139683954,1,-0.139683954,0
geq,0.685522784,0.215162403,0.062032205,0.024912318,0.011446039,0.000832296,9.20E-05,1,1.464461134,2,0.535538866,1
ges,0.710894053,0.201916153,0.055457956,0.021513395,0.009498045,0.00065174,6.87E-05,1,1.419035082,1,-0.419035082,0
gew,0.958681278,0.03574194,0.004376153,0.000966085,0.000228215,6.03E-06,2.98E-07,1,1.048337303,1,-0.048337303,0
gex,0.778344352,0.163317717,0.038949365,0.013666621,0.005381258,0.000312025,2.87E-05,1,1.305473438,1,-0.305473438,0
gey,0.906254244,0.076755499,0.012567486,0.003388694,0.000994737,3.70E-05,2.38E-06,1,1.116234581,1,-0.116234581,0
gez,0.004228919,0.029324484,0.057664252,0.100660985,0.306975525,0.23474246,0.266403375,5,5.446670591,6,0.553329409,1
gfk,0.900007317,0.081406224,0.013668198,0.0037503,0.001122183,4.29E-05,2.83E-06,1,1.124713973,1,-0.124713973,0
gga,0.717429207,0.198390077,0.053794802,0.02067806,0.009033887,0.000610459,6.35E-05,1,1.407582752,1,-0.407582752,0
ggb,0.868728477,0.1040106,0.019507736,0.005781342,0.001883693,8.21E-05,6.01E-06,1,1.168351638,1,-0.168351638,0
ggd,0.000580212,0.006639,0.018458208,0.042935312,0.199648307,0.235137348,0.496601612,7,6.126250993,7,0.873749007,0
gge,0.111343573,0.226941768,0.193801486,0.174285091,0.214496718,0.058333284,0.020798081,2,3.411841789,2,-1.411841789,0
ggg,0.858479861,0.111177475,0.021531159,0.006525558,0.002179778,9.87E-05,7.44E-06,1,1.183073863,1,-0.183073863,0
ggk,0.001118983,0.01096583,0.027394705,0.058274054,0.237177843,0.244431184,0.420637402,7,5.935269103,7,1.064730897,0
ggl,0.754580218,0.177470626,0.044593291,0.016236912,0.006667778,0.000411428,3.97E-05,1,1.344334676,1,-0.344334676,0
ggt,0.812145212,0.142158366,0.031279827,0.010368831,0.003828862,0.000201745,1.72E-05,1,1.252251624,1,-0.252251624,0
ggu,0.894118429,0.085748025,0.0147267,0.004104739,0.001249681,4.91E-05,3.31E-06,1,1.132779802,1,-0.132779802,0
ggw,0.957339146,0.036840884,0.004558349,0.001013559,0.000241285,6.46E-06,3.22E-07,1,1.049997608,1,-0.049997608,0
gha,0.22476919,0.293608264,0.188314304,0.136111404,0.126743174,0.02425743,0.006196234,2,2.744008336,2,-0.744008336,0
ghe,0.755558766,0.176899669,0.044357018,0.016126937,0.006611441,0.000406937,3.92E-05,1,1.342710359,1,-0.342710359,0
ghh,0.592534388,0.257442865,0.087507893,0.039564193,0.020861804,0.001848268,0.000240589,1,1.645283319,2,0.354716681,1
ghk,0.761864447,0.173196075,0.042842332,0.015426812,0.006255446,0.000378842,3.60E-05,1,1.332293451,1,-0.332293451,0
ghl,0.446208568,0.301411844,0.13030617,0.070203175,0.04557427,0.00539694,0.000899033,1,1.987309687,3,1.012690313,2
gho,0.031176623,0.113052734,0.142200487,0.173129041,0.318774588,0.1398833,0.081783228,5,4.382055047,1,-3.382055047,-4
ghr,0.500630664,0.28862679,0.114200809,0.057659851,0.034636859,0.003685077,0.00055995,1,1.850340481,1,-0.850340481,0
ghs,0.963255084,0.031974527,0.00376862,0.000810617,0.00018622,4.71E-06,2.25E-07,1,1.042713385,1,-0.042713385,0
ght,0.496000034,0.28988959,0.115568369,0.058672618,0.035477099,0.003808994,0.000583295,1,1.861497322,1,-0.861497322,0
gia,0.142294274,0.252131688,0.19647461,0.164681633,0.185071416,0.044970865,0.014375515,2,3.190518884,3,-0.190518884,1
gid,0.916387189,0.069111103,0.010832723,0.002834009,0.000804813,2.84E-05,1.76E-06,1,1.102650403,1,-0.102650403,0
gig,0.811487463,0.142581648,0.031424817,0.010429019,0.003856132,0.00020358,1.73E-05,1,1.253264808,1,-0.253264808,0
gil,0.982919954,0.015332378,0.001432377,0.00026315,5.11E-05,9.86E-07,3.83E-08,1,1.019196209,1,-0.019196209,0
gim,0.958298783,0.036055426,0.0044279,0.00097953,0.000231905,6.15E-06,3.05E-07,1,1.048810017,1,-0.048810017,0
gin,0.258428683,0.302793778,0.181490909,0.124654133,0.108901559,0.019187319,0.00454362,2,2.59854254,2,-0.59854254,0
gip,0.912303571,0.072206998,0.011524105,0.003052771,0.000878875,3.17E-05,1.99E-06,1,1.108099413,1,-0.108099413,0
giq,0.092877129,0.208314136,0.189508862,0.178964172,0.234747763,0.069013409,0.026574528,5,3.567729645,5,1.432270355,0
gir,0.063504577,0.171109257,0.175958754,0.182799343,0.271907309,0.092990328,0.041730432,5,3.874388258,5,1.125611742,0
gis,0.898222497,0.082726461,0.013986904,0.00385634,0.001160066,4.48E-05,2.97E-06,1,1.127151186,1,-0.127151186,0
git,0.234807493,0.296740207,0.186423426,0.132655506,0.12112905,0.022603406,0.005640912,2,2.698932278,3,0.301067722,1
giw,0.156523802,0.261644644,0.19633751,0.159883996,0.173155315,0.040169954,0.01228478,2,3.10115136,5,1.89884864,3
gix,0.88895983,0.089518108,0.015670063,0.004425952,0.001367316,5.50E-05,3.77E-06,1,1.139902774,1,-0.139902774,0
giz,0.910797672,0.073343462,0.011781724,0.003135076,0.000907029,3.30E-05,2.09E-06,1,1.110117524,1,-0.110117524,0
gji,0.730643303,0.191119084,0.050471606,0.019038729,0.008140256,0.000532985,5.40E-05,1,1.384728654,1,-0.384728654,0
gjk,0.982772621,0.015460161,0.001447885,0.000266443,5.18E-05,1.00E-06,3.90E-08,1,1.019367899,1,-0.019367899,0
gjn,0.981731259,0.016361815,0.001558513,0.000290102,5.71E-05,1.13E-06,4.45E-08,1,1.020583605,1,-0.020583605,0
gju,0.980866113,0.017108892,0.001651745,0.000310265,6.17E-05,1.24E-06,4.94E-08,1,1.021596454,1,-0.021596454,0
gka,0.732892284,0.189862855,0.049911426,0.018766313,0.007994013,0.000520565,5.25E-05,1,1.380878784,2,0.619121216,1
gke,0.094225459,0.209782052,0.189910852,0.1786639,0.233192511,0.068143133,0.026082093,5,3.555573723,5,1.444426277,0
gkn,0.966139737,0.029580063,0.003396577,0.000717707,0.000161764,3.97E-06,1.85E-07,1,1.039194338,1,-0.039194338,0
gkp,0.979081958,0.01864401,0.001847655,0.000353261,7.16E-05,1.48E-06,6.05E-08,1,1.023693171,1,-0.023693171,0
gla,0.980779403,0.01718367,0.001661154,0.000312311,6.22E-05,1.25E-06,4.99E-08,1,1.021698108,1,-0.021698108,0
glc,0.639197917,0.237488834,0.074477265,0.031771558,0.015654247,0.001258997,0.000151181,1,1.5515771,1,-0.5515771,0
gld,0.073495108,0.185004356,0.181758804,0.182215913,0.25854708,0.08357474,0.035403999,5,3.759655719,3,-0.759655719,-2
gle,0.912840011,0.071801487,0.011432678,0.003023664,0.000868956,3.12E-05,1.96E-06,1,1.107381639,1,-0.107381639,0
glg,0.965732518,0.029918972,0.003448555,0.000730577,0.000165121,4.07E-06,1.90E-07,1,1.039689774,1,-0.039689774,0
glh,0.030852946,0.112328002,0.141676085,0.172865578,0.319232242,0.140560126,0.082485022,5,4.388916633,1,-3.388916633,-4
glj,0.814355468,0.140732637,0.030793899,0.010167734,0.003738052,0.00019566,1.66E-05,1,1.248853447,1,-0.248853447,0
glk,0.927401083,0.060656341,0.009022606,0.002276633,0.000621494,2.06E-05,1.22E-06,1,1.088127862,1,-0.088127862,0
glo,0.895054841,0.085060343,0.014557058,0.004047504,0.001228925,4.81E-05,3.23E-06,1,1.131492547,1,-0.131492547,0
glr,0.873901939,0.100348556,0.018506135,0.005420331,0.001743159,7.45E-05,5.36E-06,1,1.160999221,1,-0.160999221,0
glu,0.884081085,0.093055416,0.016575727,0.0047389,0.001483748,6.09E-05,4.24E-06,1,1.146688423,1,-0.146688423,0
glv,0.002909853,0.022351967,0.047180531,0.087294502,0.289567971,0.241869411,0.308825765,7,5.599170063,6,0.400829937,-1
glw,0.896668421,0.083872954,0.014265908,0.003949653,0.001193589,4.64E-05,3.10E-06,1,1.129278559,1,-0.129278559,0
gly,0.184010359,0.27698737,0.194329542,0.150340886,0.152531478,0.032582905,0.00921746,2,2.94501431,6,3.05498569,4
gma,0.000436436,0.005326755,0.01548338,0.037385829,0.183882396,0.228930743,0.52855446,7,6.199961065,7,0.800038935,0
gmd,0.785917513,0.158681885,0.037193248,0.012891341,0.005005987,0.000284339,2.57E-05,1,1.29334217,1,-0.29334217,0
gmm,0.947957201,0.044443836,0.005878297,0.001368121,0.000342127,9.89E-06,5.24E-07,1,1.061725919,1,-0.061725919,0
gmn,0.770573447,0.168011564,0.040773032,0.014484107,0.005783492,0.000342376,3.20E-05,1,1.318047691,1,-0.318047691,0
gmu,0.801758137,0.148789254,0.033589708,0.011337751,0.00427282,0.000232103,2.02E-05,1,1.268355081,1,-0.268355081,0
gmx,0.717932359,0.198116677,0.053667285,0.020614423,0.008998768,0.000607364,6.31E-05,1,1.406705155,2,0.593294845,1
gna,0.808530581,0.144478831,0.032078768,0.010701542,0.003980122,0.000211975,1.82E-05,1,1.257830447,1,-0.257830447,0
gnb,0.776445774,0.164470408,0.039392912,0.013864291,0.005477911,0.000319256,2.94E-05,1,1.308533714,1,-0.308533714,0
gnd,0.90638236,0.07665963,0.012545156,0.003381434,0.000992207,3.68E-05,2.37E-06,1,1.116061513,1,-0.116061513,0
gne,0.866215393,0.105778742,0.019999128,0.005960265,0.001954107,8.60E-05,6.34E-06,1,1.171942386,2,0.828057614,1
gng,0.957210064,0.036946423,0.004575963,0.001018169,0.00024256,6.50E-06,3.24E-07,1,1.050157526,1,-0.050157526,0
gnh,0.762568129,0.172780155,0.042674149,0.015349598,0.006216468,0.000375797,3.57E-05,1,1.331136331,5,3.668863669,4
gni,0.126884961,0.240429793,0.195728765,0.169653386,0.19907417,0.05104425,0.017184676,2,3.295473466,4,0.704526534,2
gnk,0.785755282,0.158781828,0.037230645,0.012907728,0.005013856,0.000284913,2.57E-05,1,1.293600779,1,-0.293600779,0
gnl,0.000204262,0.002940925,0.009577141,0.02545135,0.144780988,0.207719279,0.609326055,7,6.372125932,7,0.627874068,0
gnm,0.772266048,0.166994627,0.040373968,0.014304149,0.005694379,0.000335593,3.12E-05,1,1.315297904,1,-0.315297904,0
gnn,0.222836838,0.292964777,0.188662339,0.136779845,0.127854599,0.024591388,0.006310213,2,2.752865608,1,-1.752865608,-1
gno,0.990284104,0.008869451,0.000708569,0.000117163,2.04E-05,3.28E-07,1.11E-08,1,1.010721283,1,-0.010721283,0
gnq,0.156424435,0.261582182,0.19634086,0.159917977,0.173235395,0.040201155,0.012297996,2,3.101753164,4,0.898246836,2
gnr,0.000705599,0.007716651,0.020795239,0.047123705,0.210717297,0.238695589,0.474245921,7,6.072500899,6,-0.072500899,-1
gnt,0.736436933,0.187871872,0.049031778,0.018340833,0.007766904,0.000501425,5.03E-05,1,1.374834203,1,-0.374834203,0
gnu,0.674117736,0.220884699,0.065045515,0.02652192,0.012400897,0.00092489,0.000104342,1,1.485395586,1,-0.485395586,0
gnw,0.756122465,0.176570304,0.044221058,0.016063747,0.006579121,0.000404366,3.89E-05,1,1.341775611,1,-0.341775611,0
gnz,0.838281833,0.124966086,0.025664422,0.008104723,0.002834362,0.000137614,1.10E-05,1,1.212700377,1,-0.212700377,0
goa,0.981666527,0.016417776,0.001565448,0.000291595,5.75E-05,1.14E-06,4.49E-08,1,1.020659299,1,-0.020659299,0
gob,0.096270955,0.211974557,0.19049156,0.178194002,0.230856954,0.066852824,0.025359148,5,3.537386507,2,-1.537386507,-3
goc,0.825899083,0.133202078,0.028288747,0.00914638,0.003284152,0.000165918,1.36E-05,1,1.231266759,1,-0.231266759,0
god,0.940434005,0.050445605,0.006991191,0.001680171,0.000435005,1.33E-05,7.35E-07,1,1.07127937,1,-0.07127937,0
goe,0.554559577,0.271692164,0.098406344,0.046587281,0.025930597,0.002479817,0.00034422,1,1.726453489,2,0.273546511,1
gog,0.988354441,0.010578457,0.000887625,0.00015169,2.73E-05,4.65E-07,1.64E-08,1,1.012920423,1,-0.012920423,0
goi,0.825698759,0.13333397,0.028331745,0.00916369,0.00329174,0.000166406,1.37E-05,1,1.231569655,1,-0.231569655,0
gol,0.979220236,0.018525293,0.0018323,0.000349861,7.08E-05,1.46E-06,5.96E-08,1,1.023530291,1,-0.023530291,0
gom,0.982696047,0.015526554,0.001455959,0.00026816,5.22E-05,1.01E-06,3.94E-08,1,1.019457163,1,-0.019457163,0
gop,0.290571556,0.308347745,0.173915389,0.114124564,0.094215368,0.015412585,0.003412793,2,2.472953372,3,0.527046628,1
goq,0.411174173,0.307106326,0.140622763,0.079036327,0.053992455,0.006854974,0.001212982,1,2.082983413,3,0.917016587,2
gor,0.842616813,0.122043938,0.024761605,0.007753254,0.002685736,0.000128534,1.01E-05,1,1.206273246,2,0.793726754,1
gos,0.842280923,0.12227108,0.024831258,0.007780242,0.002697091,0.000129223,1.02E-05,1,1.206769902,1,-0.206769902,0
gou,0.802488962,0.148326445,0.033425789,0.01126829,0.004240646,0.00022987,2.00E-05,1,1.267214815,1,-0.267214815,0
gow,0.881615987,0.094832372,0.017038214,0.004900397,0.001544512,6.40E-05,4.50E-06,1,1.150135126,1,-0.150135126,0
gox,0.921934183,0.064872349,0.009910898,0.002547295,0.000709509,2.43E-05,1.47E-06,1,1.095304369,1,-0.095304369,0
goy,0.161662975,0.264802675,0.196122127,0.158119511,0.169070849,0.038596991,0.011624873,2,3.070423048,5,1.929576952,3
goz,0.004762646,0.031937356,0.06136235,0.105101989,0.311892323,0.231710115,0.25323322,5,5.395487211,3,-2.395487211,-2
gpa,0.936063732,0.053895254,0.007658292,0.001872403,0.000493904,1.55E-05,8.79E-07,1,1.076887615,1,-0.076887615,0
gpn,0.651860839,0.231629228,0.07102271,0.029811355,0.014414919,0.001128444,0.000132505,1,1.527205635,4,2.472794365,3
