ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
twm-CHN	twm-cn	twm-CH	Tawan Monba	Monba, Tawan	MONBA, TAWAN	Monba, Tawan	twm	tawa1289	Tawang Monpa	Eurasia	27.7686	92.1838	tawa1289	CN;IN	book1242	NA	shifting	Bookkeeping	book1242	language	Wordlist or less	tawa1289:1	{u'View other languages of China': {}}	Brahmi, Cuona Menba, Dwags, Monkit, Northern Monpa, Takpa, Tawan Monba	NA	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, East Bodish	India	NA	Literacy rate in L2: 32% (2001 census).	China	OLAC resources in and about Monpa, Tawang	6a (Vigorous).	Vigorous. Home, village, religion. Positive attitudes. Also use Hindi [hin]. Used as L2 by Sherdukpen [sdp].	Arunachal Pradesh state: Tawang district.	Monpa (Moinba), ‘man of the lower country’, refers to several ethnically related peoples, which may not be related linguistically. Buddhist.	8,600. Total users in all countries: 9,900.	9900	Basic SOV.	Devanagari script [Deva].	Monpa, Tawang
njd-TZA	njd-tz	njd-TZ	Ndonde Hamba	Ndonde Hamba	NDONDE HAMBA	Ndonde Hamba	njd	ndon1252	Ndonde Hamba	Africa	-10.5584	38.1253	ndon1252	TZ	book1242	NA	threatened	Bookkeeping	book1242	language	Wordlist or less	ndon1252:1	NA	Chindonde, Chindonde Hamba, Ishiwanda, Kidonde, Kimawanda, Kindonde Hamba, Mawanda, Ndomde, Ndonde, Wanda	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, P, Yao (P.24)	Tanzania	NA	NA	Tanzania	OLAC resources in and about Ndonde Hamba	6b (Threatened).	Shifting to Swahili [swh]. Also use Makhuwa-Meetto [mgh].	Lindi region: Nachingwea district, Kilimarondo division.	Similar to Mwera [mjh]. Extensive borrowing from Ngindo [nnq]. Muslim, Christian, traditional religion.	10,000 (2002 PBT).	10000	NA	Unwritten [Qaax].	Ndonde Hamba
wai-IDN	wai-id	wai-ID	Wares	Wares	WARES	Wares	wai	ware1254	Wares	Papunesia	-2.47357	139.337	ware1254	ID	unat1236	NA	shifting	Unattested	unat1236/toro1259	language	Wordlist or less	ware1254:1	NA	NA	NA	Tor-Kwerba, Orya-Tor, Tor	Indonesia	NA	NA	Indonesia, Northwestern Papua enlargement	OLAC resources in and about Wares	7 (Shifting).	NA	Papua province: Sarmi regency, Maweswares village on Biri river headwaters south side.	2005 survey data indicates language may not exist or speakers have moved. Maweswres village now inhabited by Mawes [mgk] speakers. Christian, traditional religion.	200 (1993 R. Doriot).	200	NA	NA	Wares
yax-AGO	yax-ao	yax-AO	Yauma	Yauma	YAUMA	Yauma	yax	yaum1238	Yauma	Africa	-15.821495	21.881345	yaum1238	AO;ZM	book1242	NA	threatened	Bookkeeping	book1242	language	NA	yaum1238:1	{u'View other languages of Zambia': {}}	NA	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, K, Ciokwe-Luchazi (K.16)	Angola	None known. Part of the Ngangela Subgroup.	Bible portions: 1978.	Angola	OLAC resources in and about Yauma	6a (Vigorous).	NA	Southeast, isolated enclave in Lucazi [lch] language area, Moxico province; Kuando Kubango Province, Kuando river area.	NA	17,100 (2000). Total users in all countries: 22,200.	22200	NA	Latin script [Latn], plans for future development using this script.	Yauma
pig-PER	pig-pe	pig-PE	Pisabo	Pisabo	PISABO	Pisabo	pig	pisa1244	Pisabo	South America	-6.32551	-73.3411	pisa1244	BR;PE	unat1236	NA	shifting	Unattested	unat1236/pano1260	language	Wordlist or less	pisa1244:1	NA	Pisagua, Pisahua	NA	Panoan	Peru	NA	NA	Peru	OLAC resources in and about Pisabo	6b (Threatened).	NA	Loreto region: in Matsés [mcf] language group territory, between Tapíche and Blanco rivers.	NA	500 (2011 J. Leclerc).	500	NA	Unwritten [Qaax].	Pisabo
gio-CHN	gio-cn	gio-CH	Gelao	Gelao	GELAO	Gelao	gio	gela1261	Gelao	Eurasia	26.1545	106.235	gela1261	CN	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	gela1261:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mvc-GTM	mvc-gt	mvc-GT	Central Mam	Mam, Central	MAM, CENTRAL	Mam, Central	mvc	mamc1234	Mam, Central	North America	NA	NA	mamc1234	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	mamc1234:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cka-MMR	cka-mm	cka-BM	Khumi Awa Chin	Chin, Khumi Awa	CHIN, KHUMI AWA	Chin, Khumi Awa	cka	khum1250	Khumi Awa Chin	Eurasia	20.5226	93.3656	khum1250	MM	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	khum1250:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dkl-MLI	dkl-ml	dkl-ML	Kolum So Dogon	Dogon, Kolum So	DOGON, KOLUM SO	Dogon, Kolum So	dkl	kolu1247	Kolum So Dogon	Africa	14.3617	-3.8795	kolu1247	ML	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kolu1247:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
whu-IDN	whu-id	whu-ID	Wahau Kayan	Kayan, Wahau	KAYAN, WAHAU	Kayan, Wahau	whu	waha1239	Wahau Kayan	Papunesia	1.42088	116.6795	waha1239	ID	book1242	NA	threatened	Bookkeeping	book1242	language	NA	waha1239:1	NA	Wahau Kajan	NA	Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kayanic, Kayan Proper	Indonesia	NA	NA	Indonesia, Kalimantan	OLAC resources in and about Kayan, Wahau	6b (Threatened).	NA	Kalimantan Timur province: Kutai Timur regency, Telen river north tributary.	NA	500 (Wurm and Hattori 1981).	500	NA	NA	Kayan, Wahau
